T,M,D,K,C,Val,DK,DKC
1,0,C1,P3,S1,-8.123584998239105,"C1,P3","C1,P3,S1"
1,0,C1,P3,S4,-1009.9044812477989,"C1,P3","C1,P3,S4"
1,0,C1,P3,S6,-4.561792499119553,"C1,P3","C1,P3,S6"
1,0,C2,P3,S1,-1009.9044812477989,"C2,P3","C2,P3,S1"
1,0,C2,P3,S4,-1013.4662737469187,"C2,P3","C2,P3,S4"
1,0,C2,P3,S6,-6.342688748679331,"C2,P3","C2,P3,S6"
1,1,C1,P3,S1,-8.212629810717091,"C1,P3","C1,P3,S1"
1,1,C1,P3,S4,-1010.2606604977108,"C1,P3","C1,P3,S4"
1,1,C1,P3,S6,-4.650837311597539,"C1,P3","C1,P3,S6"
1,1,C2,P3,S1,-1009.9044812477989,"C2,P3","C2,P3,S1"
1,1,C2,P3,S4,-1013.4662737469183,"C2,P3","C2,P3,S4"
1,1,C2,P3,S6,-6.342688748679334,"C2,P3","C2,P3,S6"
1,2,C1,P3,S1,-8.212629810717095,"C1,P3","C1,P3,S1"
1,2,C1,P3,S4,-1010.2606604977109,"C1,P3","C1,P3,S4"
1,2,C1,P3,S6,-4.650837311597537,"C1,P3","C1,P3,S6"
1,2,C2,P3,S1,-1009.9044812477989,"C2,P3","C2,P3,S1"
1,2,C2,P3,S4,-1013.4662737469187,"C2,P3","C2,P3,S4"
1,2,C2,P3,S6,-6.34268874867926,"C2,P3","C2,P3,S6"
1,3,C1,P3,S1,-8.618309060629075,"C1,P3","C1,P3,S1"
1,3,C1,P3,S4,-1011.2501086224909,"C1,P3","C1,P3,S4"
1,3,C1,P3,S6,-4.878426936553575,"C1,P3","C1,P3,S6"
1,3,C2,P3,S1,-1009.9044812477989,"C2,P3","C2,P3,S1"
1,3,C2,P3,S4,-1013.4662737469184,"C2,P3","C2,P3,S4"
1,3,C2,P3,S6,-6.342688748680084,"C2,P3","C2,P3,S6"
1,4,C1,P3,S1,-8.618309060629075,"C1,P3","C1,P3,S1"
1,4,C1,P3,S4,-1011.2501086224909,"C1,P3","C1,P3,S4"
1,4,C1,P3,S6,-4.878426936553575,"C1,P3","C1,P3,S6"
1,4,C2,P3,S1,-1009.9044812477989,"C2,P3","C2,P3,S1"
1,4,C2,P3,S4,-1013.4662737469184,"C2,P3","C2,P3,S4"
1,4,C2,P3,S6,-6.342688748680084,"C2,P3","C2,P3,S6"
2,0,C1,P3,S1,-0.019899999999976714,"C1,P3","C1,P3,S1"
2,0,C1,P3,S4,-1000.0199000000001,"C1,P3","C1,P3,S4"
2,0,C1,P3,S6,-0.019899999999992257,"C1,P3","C1,P3,S6"
2,0,C2,P3,S1,-1000.0199,"C2,P3","C2,P3,S1"
2,0,C2,P3,S4,-1000.0199,"C2,P3","C2,P3,S4"
2,0,C2,P3,S6,-0.019900000000044216,"C2,P3","C2,P3,S6"
2,1,C1,P3,S1,-0.01990000000000164,"C1,P3","C1,P3,S1"
2,1,C1,P3,S4,-1000.0199000000001,"C1,P3","C1,P3,S4"
2,1,C1,P3,S6,-0.01989999999997516,"C1,P3","C1,P3,S6"
2,1,C2,P3,S1,-1000.0199,"C2,P3","C2,P3,S1"
2,1,C2,P3,S4,-1000.0199000000002,"C2,P3","C2,P3,S4"
2,1,C2,P3,S6,-0.019900000000005136,"C2,P3","C2,P3,S6"
2,2,C1,P3,S1,-0.019900000000001805,"C1,P3","C1,P3,S1"
2,2,C1,P3,S4,-1000.0199000000006,"C1,P3","C1,P3,S4"
2,2,C1,P3,S6,-0.01989999999997011,"C1,P3","C1,P3,S6"
2,2,C2,P3,S1,-1000.0199,"C2,P3","C2,P3,S1"
2,2,C2,P3,S4,-1000.0199000000003,"C2,P3","C2,P3,S4"
2,2,C2,P3,S6,-0.019899999999923423,"C2,P3","C2,P3,S6"
2,3,C1,P3,S1,-0.06940000000006985,"C1,P3","C1,P3,S1"
2,3,C1,P3,S4,-1000.1189,"C1,P3","C1,P3,S4"
2,3,C1,P3,S6,-0.06940000000015223,"C1,P3","C1,P3,S6"
2,3,C2,P3,S1,-1000.0199,"C2,P3","C2,P3,S1"
2,3,C2,P3,S4,-1000.0199,"C2,P3","C2,P3,S4"
2,3,C2,P3,S6,-0.019900000000747653,"C2,P3","C2,P3,S6"
2,4,C1,P3,S1,-0.06940000000006985,"C1,P3","C1,P3,S1"
2,4,C1,P3,S4,-1000.1189,"C1,P3","C1,P3,S4"
2,4,C1,P3,S6,-0.06940000000015223,"C1,P3","C1,P3,S6"
2,4,C2,P3,S1,-1000.0199,"C2,P3","C2,P3,S1"
2,4,C2,P3,S4,-1000.0199,"C2,P3","C2,P3,S4"
2,4,C2,P3,S6,-0.019900000000747653,"C2,P3","C2,P3,S6"
3,0,C1,P3,S1,0.9673175143708104,"C1,P3","C1,P3,S1"
3,0,C1,P3,S4,-998.786028355065,"C1,P3","C1,P3,S4"
3,0,C1,P3,S6,1.0029354393620347,"C1,P3","C1,P3,S6"
3,0,C2,P3,S1,-999.138645812478,"C2,P3","C2,P3,S1"
3,0,C2,P3,S4,-999.1742637374697,"C2,P3","C2,P3,S4"
3,0,C2,P3,S6,0.896972112513347,"C2,P3","C2,P3,S6"
3,1,C1,P3,S1,0.9620193480283761,"C1,P3","C1,P3,S1"
3,1,C1,P3,S4,-998.8248518933058,"C1,P3","C1,P3,S4"
3,1,C1,P3,S6,0.9976372730195997,"C1,P3","C1,P3,S6"
3,1,C2,P3,S1,-999.138645812478,"C2,P3","C2,P3,S1"
3,1,C2,P3,S4,-999.1742637374695,"C2,P3","C2,P3,S4"
3,1,C2,P3,S6,0.8969721125132084,"C2,P3","C2,P3,S6"
3,2,C1,P3,S1,0.9620193480283383,"C1,P3","C1,P3,S1"
3,2,C1,P3,S4,-998.8248518933055,"C1,P3","C1,P3,S4"
3,2,C1,P3,S6,0.9976372730194909,"C1,P3","C1,P3,S6"
3,2,C2,P3,S1,-999.138645812478,"C2,P3","C2,P3,S1"
3,2,C2,P3,S4,-999.1742637374693,"C2,P3","C2,P3,S4"
3,2,C2,P3,S6,0.8969721125132812,"C2,P3","C2,P3,S6"
3,3,C1,P3,S1,0.9133652737470254,"C1,P3","C1,P3,S1"
3,3,C1,P3,S4,-998.8974946288118,"C1,P3","C1,P3,S4"
3,3,C1,P3,S6,0.9507640949875313,"C1,P3","C1,P3,S6"
3,3,C2,P3,S1,-999.138645812478,"C2,P3","C2,P3,S1"
3,3,C2,P3,S4,-999.1742637374692,"C2,P3","C2,P3,S4"
3,3,C2,P3,S6,0.8969721125125263,"C2,P3","C2,P3,S6"
3,4,C1,P3,S1,0.9133652737470254,"C1,P3","C1,P3,S1"
3,4,C1,P3,S4,-998.8974946288118,"C1,P3","C1,P3,S4"
3,4,C1,P3,S6,0.9507640949875313,"C1,P3","C1,P3,S6"
3,4,C2,P3,S1,-999.138645812478,"C2,P3","C2,P3,S1"
3,4,C2,P3,S4,-999.1742637374692,"C2,P3","C2,P3,S4"
3,4,C2,P3,S6,0.8969721125125263,"C2,P3","C2,P3,S6"
4,0,C1,P3,S1,1.93941766891915,"C1,P3","C1,P3,S1"
4,0,C1,P3,S4,-997.6029307294381,"C1,P3","C1,P3,S4"
4,0,C1,P3,S6,2.010297339651339,"C1,P3","C1,P3,S6"
4,0,C2,P3,S1,-998.2662041668312,"C2,P3","C2,P3,S1"
4,0,C2,P3,S4,-998.3370838375643,"C2,P3","C2,P3,S4"
4,0,C2,P3,S6,1.8046755039011515,"C2,P3","C2,P3,S6"
4,1,C1,P3,S1,1.9291365771313738,"C1,P3","C1,P3,S1"
4,1,C1,P3,S4,-997.6763460402502,"C1,P3","C1,P3,S4"
4,1,C1,P3,S6,2.000016247863717,"C1,P3","C1,P3,S6"
4,1,C2,P3,S1,-998.2662041668311,"C2,P3","C2,P3,S1"
4,1,C2,P3,S4,-998.3370838375635,"C2,P3","C2,P3,S4"
4,1,C2,P3,S6,1.8046755039014295,"C2,P3","C2,P3,S6"
4,2,C1,P3,S1,1.9291365771314772,"C1,P3","C1,P3,S1"
4,2,C1,P3,S4,-997.67634604025,"C1,P3","C1,P3,S4"
4,2,C1,P3,S6,2.0000162478638184,"C1,P3","C1,P3,S6"
4,2,C2,P3,S1,-998.2662041668312,"C2,P3","C2,P3,S1"
4,2,C2,P3,S4,-998.3370838375643,"C2,P3","C2,P3,S4"
4,2,C2,P3,S6,1.8046755039014526,"C2,P3","C2,P3,S6"
4,3,C1,P3,S1,1.881057710077354,"C1,P3","C1,P3,S1"
4,3,C1,P3,S4,-997.726738614194,"C1,P3","C1,P3,S4"
4,3,C1,P3,S6,1.955481364346323,"C1,P3","C1,P3,S6"
4,3,C2,P3,S1,-998.2662041668311,"C2,P3","C2,P3,S1"
4,3,C2,P3,S4,-998.3370838375638,"C2,P3","C2,P3,S4"
4,3,C2,P3,S6,1.8046755039006186,"C2,P3","C2,P3,S6"
4,4,C1,P3,S1,1.881057710077354,"C1,P3","C1,P3,S1"
4,4,C1,P3,S4,-997.726738614194,"C1,P3","C1,P3,S4"
4,4,C1,P3,S6,1.955481364346323,"C1,P3","C1,P3,S6"
4,4,C2,P3,S1,-998.2662041668311,"C2,P3","C2,P3,S1"
4,4,C2,P3,S4,-998.3370838375638,"C2,P3","C2,P3,S4"
4,4,C2,P3,S6,1.8046755039006186,"C2,P3","C2,P3,S6"
5,0,C1,P3,S1,2.8968637257309044,"C1,P3","C1,P3,S1"
5,0,C1,P3,S4,-996.4659099349128,"C1,P3","C1,P3,S4"
5,0,C1,P3,S6,3.002652524747048,"C1,P3","C1,P3,S6"
5,0,C2,P3,S1,-997.4024869376415,"C2,P3","C2,P3,S1"
5,0,C2,P3,S4,-997.5082757366575,"C2,P3","C2,P3,S4"
5,0,C2,P3,S6,2.703301861375637,"C2,P3","C2,P3,S6"
5,1,C1,P3,S1,2.8818961925623947,"C1,P3","C1,P3,S1"
5,1,C1,P3,S4,-996.5701465150871,"C1,P3","C1,P3,S4"
5,1,C1,P3,S6,2.987684991578531,"C1,P3","C1,P3,S6"
5,1,C2,P3,S1,-997.4024869376411,"C2,P3","C2,P3,S1"
5,1,C2,P3,S4,-997.5082757366584,"C2,P3","C2,P3,S4"
5,1,C2,P3,S6,2.7033018613755715,"C2,P3","C2,P3,S6"
5,2,C1,P3,S1,2.8818961925623254,"C1,P3","C1,P3,S1"
5,2,C1,P3,S4,-996.5701465150876,"C1,P3","C1,P3,S4"
5,2,C1,P3,S6,2.987684991578611,"C1,P3","C1,P3,S6"
5,2,C2,P3,S1,-997.4024869376409,"C2,P3","C2,P3,S1"
5,2,C2,P3,S4,-997.5082757366575,"C2,P3","C2,P3,S4"
5,2,C2,P3,S6,2.7033018613756177,"C2,P3","C2,P3,S6"
5,3,C1,P3,S1,2.8341401258542813,"C1,P3","C1,P3,S1"
5,3,C1,P3,S4,-996.601936014569,"C1,P3","C1,P3,S4"
5,3,C1,P3,S6,2.9452183648208408,"C1,P3","C1,P3,S6"
5,3,C2,P3,S1,-997.402486937641,"C2,P3","C2,P3,S1"
5,3,C2,P3,S4,-997.5082757366573,"C2,P3","C2,P3,S4"
5,3,C2,P3,S6,2.7033018613748103,"C2,P3","C2,P3,S6"
5,4,C1,P3,S1,2.8341401258542813,"C1,P3","C1,P3,S1"
5,4,C1,P3,S4,-996.601936014569,"C1,P3","C1,P3,S4"
