T,M,D,K,C,Val,DK,DKC
1,0,C1,P3,S1,-0.010000000000000009,"C1,P3","C1,P3,S1"
1,0,C1,P3,S4,-1000.01,"C1,P3","C1,P3,S4"
1,0,C1,P3,S6,-0.010000000000000009,"C1,P3","C1,P3,S6"
1,0,C2,P3,S1,-1000.01,"C2,P3","C2,P3,S1"
1,0,C2,P3,S4,-1000.01,"C2,P3","C2,P3,S4"
1,0,C2,P3,S6,-0.010000000000000009,"C2,P3","C2,P3,S6"
1,1,C1,P3,S1,-0.010000000000000009,"C1,P3","C1,P3,S1"
1,1,C1,P3,S4,-1000.01,"C1,P3","C1,P3,S4"
1,1,C1,P3,S6,-0.010000000000000009,"C1,P3","C1,P3,S6"
1,1,C2,P3,S1,-1000.01,"C2,P3","C2,P3,S1"
1,1,C2,P3,S4,-1000.01,"C2,P3","C2,P3,S4"
1,1,C2,P3,S6,-0.010000000000000009,"C2,P3","C2,P3,S6"
1,2,C1,P3,S1,-0.010000000000000009,"C1,P3","C1,P3,S1"
1,2,C1,P3,S4,-1000.01,"C1,P3","C1,P3,S4"
1,2,C1,P3,S6,-0.010000000000000009,"C1,P3","C1,P3,S6"
1,2,C2,P3,S1,-1000.01,"C2,P3","C2,P3,S1"
1,2,C2,P3,S4,-1000.01,"C2,P3","C2,P3,S4"
1,2,C2,P3,S6,-0.010000000000000009,"C2,P3","C2,P3,S6"
1,3,C1,P3,S1,-0.010000000000000009,"C1,P3","C1,P3,S1"
1,3,C1,P3,S4,-1000.01,"C1,P3","C1,P3,S4"
1,3,C1,P3,S6,-0.010000000000000009,"C1,P3","C1,P3,S6"
1,3,C2,P3,S1,-1000.01,"C2,P3","C2,P3,S1"
1,3,C2,P3,S4,-1000.01,"C2,P3","C2,P3,S4"
1,3,C2,P3,S6,-0.010000000000000009,"C2,P3","C2,P3,S6"
1,4,C1,P3,S1,-0.010000000000000009,"C1,P3","C1,P3,S1"
1,4,C1,P3,S4,-1000.01,"C1,P3","C1,P3,S4"
1,4,C1,P3,S6,-0.010000000000000009,"C1,P3","C1,P3,S6"
1,4,C2,P3,S1,-1000.01,"C2,P3","C2,P3,S1"
1,4,C2,P3,S4,-1000.01,"C2,P3","C2,P3,S4"
1,4,C2,P3,S6,-0.010000000000000009,"C2,P3","C2,P3,S6"
2,0,C1,P3,S1,0.9701,"C1,P3","C1,P3,S1"
2,0,C1,P3,S4,-999.0299,"C1,P3","C1,P3,S4"
2,0,C1,P3,S6,0.9701,"C1,P3","C1,P3,S6"
2,0,C2,P3,S1,-999.0299,"C2,P3","C2,P3,S1"
2,0,C2,P3,S4,-999.0299,"C2,P3","C2,P3,S4"
2,0,C2,P3,S6,0.9701,"C2,P3","C2,P3,S6"
2,1,C1,P3,S1,0.9701,"C1,P3","C1,P3,S1"
