T,M,D,K,C,Val,DK,DKC
1,0,C1,P3,S1,21.876415001760897,"C1,P3","C1,P3,S1"
1,0,C1,P3,S4,-959.9044812477989,"C1,P3","C1,P3,S4"
1,0,C1,P3,S6,10.438207500880447,"C1,P3","C1,P3,S6"
1,0,C2,P3,S1,-959.9044812477989,"C2,P3","C2,P3,S1"
1,0,C2,P3,S4,-948.4662737469187,"C2,P3","C2,P3,S4"
1,0,C2,P3,S6,18.65731125132067,"C2,P3","C2,P3,S6"
1,1,C1,P3,S1,21.78737018928291,"C1,P3","C1,P3,S1"
1,1,C1,P3,S4,-960.2606604977108,"C1,P3","C1,P3,S4"
1,1,C1,P3,S6,10.349162688402462,"C1,P3","C1,P3,S6"
1,1,C2,P3,S1,-959.9044812477989,"C2,P3","C2,P3,S1"
1,1,C2,P3,S4,-948.4662737469183,"C2,P3","C2,P3,S4"
1,1,C2,P3,S6,18.657311251320664,"C2,P3","C2,P3,S6"
1,2,C1,P3,S1,21.787370189282903,"C1,P3","C1,P3,S1"
1,2,C1,P3,S4,-960.2606604977109,"C1,P3","C1,P3,S4"
1,2,C1,P3,S6,10.349162688402462,"C1,P3","C1,P3,S6"
1,2,C2,P3,S1,-959.9044812477989,"C2,P3","C2,P3,S1"
1,2,C2,P3,S4,-948.4662737469187,"C2,P3","C2,P3,S4"
1,2,C2,P3,S6,18.657311251320742,"C2,P3","C2,P3,S6"
1,3,C1,P3,S1,21.381690939370927,"C1,P3","C1,P3,S1"
1,3,C1,P3,S4,-961.2501086224909,"C1,P3","C1,P3,S4"
1,3,C1,P3,S6,10.121573063446425,"C1,P3","C1,P3,S6"
1,3,C2,P3,S1,-959.9044812477989,"C2,P3","C2,P3,S1"
1,3,C2,P3,S4,-948.4662737469184,"C2,P3","C2,P3,S4"
1,3,C2,P3,S6,18.657311251319918,"C2,P3","C2,P3,S6"
1,4,C1,P3,S1,21.381690939370927,"C1,P3","C1,P3,S1"
1,4,C1,P3,S4,-961.2501086224909,"C1,P3","C1,P3,S4"
1,4,C1,P3,S6,10.121573063446425,"C1,P3","C1,P3,S6"
1,4,C2,P3,S1,-959.9044812477989,"C2,P3","C2,P3,S1"
1,4,C2,P3,S4,-948.4662737469184,"C2,P3","C2,P3,S4"
1,4,C2,P3,S6,18.657311251319918,"C2,P3","C2,P3,S6"
2,0,C1,P3,S1,29.98010000000002,"C1,P3","C1,P3,S1"
2,0,C1,P3,S4,-950.0199000000001,"C1,P3","C1,P3,S4"
2,0,C1,P3,S6,14.980100000000007,"C1,P3","C1,P3,S6"
2,0,C2,P3,S1,-950.0199,"C2,P3","C2,P3,S1"
2,0,C2,P3,S4,-935.0199,"C2,P3","C2,P3,S4"
2,0,C2,P3,S6,24.980099999999958,"C2,P3","C2,P3,S6"
2,1,C1,P3,S1,29.980099999999997,"C1,P3","C1,P3,S1"
2,1,C1,P3,S4,-950.0199000000001,"C1,P3","C1,P3,S4"
2,1,C1,P3,S6,14.980100000000025,"C1,P3","C1,P3,S6"
2,1,C2,P3,S1,-950.0199,"C2,P3","C2,P3,S1"
2,1,C2,P3,S4,-935.0199000000002,"C2,P3","C2,P3,S4"
2,1,C2,P3,S6,24.980099999999993,"C2,P3","C2,P3,S6"
2,2,C1,P3,S1,29.980099999999997,"C1,P3","C1,P3,S1"
2,2,C1,P3,S4,-950.0199000000006,"C1,P3","C1,P3,S4"
2,2,C1,P3,S6,14.98010000000003,"C1,P3","C1,P3,S6"
2,2,C2,P3,S1,-950.0199,"C2,P3","C2,P3,S1"
2,2,C2,P3,S4,-935.0199000000003,"C2,P3","C2,P3,S4"
2,2,C2,P3,S6,24.98010000000008,"C2,P3","C2,P3,S6"
2,3,C1,P3,S1,29.93059999999993,"C1,P3","C1,P3,S1"
2,3,C1,P3,S4,-950.1189,"C1,P3","C1,P3,S4"
2,3,C1,P3,S6,14.930599999999847,"C1,P3","C1,P3,S6"
2,3,C2,P3,S1,-950.0199,"C2,P3","C2,P3,S1"
2,3,C2,P3,S4,-935.0199,"C2,P3","C2,P3,S4"
2,3,C2,P3,S6,24.980099999999254,"C2,P3","C2,P3,S6"
2,4,C1,P3,S1,29.93059999999993,"C1,P3","C1,P3,S1"
2,4,C1,P3,S4,-950.1189,"C1,P3","C1,P3,S4"
2,4,C1,P3,S6,14.930599999999847,"C1,P3","C1,P3,S6"
2,4,C2,P3,S1,-950.0199,"C2,P3","C2,P3,S1"
2,4,C2,P3,S4,-935.0199,"C2,P3","C2,P3,S4"
2,4,C2,P3,S6,24.980099999999254,"C2,P3","C2,P3,S6"
3,0,C1,P3,S1,30.967317514370812,"C1,P3","C1,P3,S1"
3,0,C1,P3,S4,-948.786028355065,"C1,P3","C1,P3,S4"
3,0,C1,P3,S6,16.002935439362034,"C1,P3","C1,P3,S6"
3,0,C2,P3,S1,-949.138645812478,"C2,P3","C2,P3,S1"
3,0,C2,P3,S4,-934.1742637374697,"C2,P3","C2,P3,S4"
3,0,C2,P3,S6,25.896972112513346,"C2,P3","C2,P3,S6"
3,1,C1,P3,S1,30.962019348028377,"C1,P3","C1,P3,S1"
3,1,C1,P3,S4,-948.8248518933058,"C1,P3","C1,P3,S4"
3,1,C1,P3,S6,15.997637273019599,"C1,P3","C1,P3,S6"
3,1,C2,P3,S1,-949.138645812478,"C2,P3","C2,P3,S1"
3,1,C2,P3,S4,-934.1742637374695,"C2,P3","C2,P3,S4"
3,1,C2,P3,S6,25.896972112513208,"C2,P3","C2,P3,S6"
3,2,C1,P3,S1,30.96201934802834,"C1,P3","C1,P3,S1"
3,2,C1,P3,S4,-948.8248518933055,"C1,P3","C1,P3,S4"
3,2,C1,P3,S6,15.99763727301949,"C1,P3","C1,P3,S6"
3,2,C2,P3,S1,-949.138645812478,"C2,P3","C2,P3,S1"
3,2,C2,P3,S4,-934.1742637374693,"C2,P3","C2,P3,S4"
3,2,C2,P3,S6,25.896972112513282,"C2,P3","C2,P3,S6"
3,3,C1,P3,S1,30.913365273747026,"C1,P3","C1,P3,S1"
3,3,C1,P3,S4,-948.8974946288118,"C1,P3","C1,P3,S4"
3,3,C1,P3,S6,15.950764094987532,"C1,P3","C1,P3,S6"
3,3,C2,P3,S1,-949.138645812478,"C2,P3","C2,P3,S1"
3,3,C2,P3,S4,-934.1742637374692,"C2,P3","C2,P3,S4"
3,3,C2,P3,S6,25.896972112512525,"C2,P3","C2,P3,S6"
3,4,C1,P3,S1,30.913365273747026,"C1,P3","C1,P3,S1"
3,4,C1,P3,S4,-948.8974946288118,"C1,P3","C1,P3,S4"
3,4,C1,P3,S6,15.950764094987532,"C1,P3","C1,P3,S6"
3,4,C2,P3,S1,-949.138645812478,"C2,P3","C2,P3,S1"
3,4,C2,P3,S4,-934.1742637374692,"C2,P3","C2,P3,S4"
3,4,C2,P3,S6,25.896972112512525,"C2,P3","C2,P3,S6"
4,0,C1,P3,S1,31.93941766891915,"C1,P3","C1,P3,S1"
4,0,C1,P3,S4,-947.6029307294381,"C1,P3","C1,P3,S4"
4,0,C1,P3,S6,17.010297339651338,"C1,P3","C1,P3,S6"
4,0,C2,P3,S1,-948.2662041668312,"C2,P3","C2,P3,S1"
4,0,C2,P3,S4,-933.3370838375643,"C2,P3","C2,P3,S4"
4,0,C2,P3,S6,26.80467550390115,"C2,P3","C2,P3,S6"
4,1,C1,P3,S1,31.929136577131374,"C1,P3","C1,P3,S1"
4,1,C1,P3,S4,-947.6763460402502,"C1,P3","C1,P3,S4"
4,1,C1,P3,S6,17.000016247863716,"C1,P3","C1,P3,S6"
4,1,C2,P3,S1,-948.2662041668311,"C2,P3","C2,P3,S1"
4,1,C2,P3,S4,-933.3370838375635,"C2,P3","C2,P3,S4"
4,1,C2,P3,S6,26.80467550390143,"C2,P3","C2,P3,S6"
4,2,C1,P3,S1,31.929136577131477,"C1,P3","C1,P3,S1"
4,2,C1,P3,S4,-947.67634604025,"C1,P3","C1,P3,S4"
4,2,C1,P3,S6,17.00001624786382,"C1,P3","C1,P3,S6"
4,2,C2,P3,S1,-948.2662041668312,"C2,P3","C2,P3,S1"
4,2,C2,P3,S4,-933.3370838375643,"C2,P3","C2,P3,S4"
4,2,C2,P3,S6,26.804675503901453,"C2,P3","C2,P3,S6"
4,3,C1,P3,S1,31.881057710077354,"C1,P3","C1,P3,S1"
4,3,C1,P3,S4,-947.726738614194,"C1,P3","C1,P3,S4"
4,3,C1,P3,S6,16.955481364346323,"C1,P3","C1,P3,S6"
4,3,C2,P3,S1,-948.2662041668311,"C2,P3","C2,P3,S1"
4,3,C2,P3,S4,-933.3370838375638,"C2,P3","C2,P3,S4"
4,3,C2,P3,S6,26.80467550390062,"C2,P3","C2,P3,S6"
4,4,C1,P3,S1,31.881057710077354,"C1,P3","C1,P3,S1"
4,4,C1,P3,S4,-947.726738614194,"C1,P3","C1,P3,S4"
4,4,C1,P3,S6,16.955481364346323,"C1,P3","C1,P3,S6"
4,4,C2,P3,S1,-948.2662041668311,"C2,P3","C2,P3,S1"
4,4,C2,P3,S4,-933.3370838375638,"C2,P3","C2,P3,S4"
4,4,C2,P3,S6,26.80467550390062,"C2,P3","C2,P3,S6"
5,0,C1,P3,S1,32.8968637257309,"C1,P3","C1,P3,S1"
5,0,C1,P3,S4,-946.4659099349128,"C1,P3","C1,P3,S4"
5,0,C1,P3,S6,18.00265252474705,"C1,P3","C1,P3,S6"
5,0,C2,P3,S1,-947.4024869376415,"C2,P3","C2,P3,S1"
5,0,C2,P3,S4,-932.5082757366575,"C2,P3","C2,P3,S4"
5,0,C2,P3,S6,27.703301861375635,"C2,P3","C2,P3,S6"
5,1,C1,P3,S1,32.881896192562394,"C1,P3","C1,P3,S1"
5,1,C1,P3,S4,-946.5701465150871,"C1,P3","C1,P3,S4"
5,1,C1,P3,S6,17.987684991578533,"C1,P3","C1,P3,S6"
5,1,C2,P3,S1,-947.4024869376411,"C2,P3","C2,P3,S1"
5,1,C2,P3,S4,-932.5082757366584,"C2,P3","C2,P3,S4"
5,1,C2,P3,S6,27.70330186137557,"C2,P3","C2,P3,S6"
