T,M,D,K,C,Val,DK,DKC
1,0,C1,P3,S1,21.876415001760897,"C1,P3","C1,P3,S1"
1,0,C1,P3,S4,40.095518752201095,"C1,P3","C1,P3,S4"
1,0,C1,P3,S6,10.438207500880447,"C1,P3","C1,P3,S6"
1,0,C2,P3,S1,40.09551875220111,"C2,P3","C2,P3,S1"
1,0,C2,P3,S4,51.53372625308135,"C2,P3","C2,P3,S4"
1,0,C2,P3,S6,18.65731125132067,"C2,P3","C2,P3,S6"
1,1,C1,P3,S1,21.78737018928291,"C1,P3","C1,P3,S1"
1,1,C1,P3,S4,39.73933950228918,"C1,P3","C1,P3,S4"
1,1,C1,P3,S6,10.349162688402462,"C1,P3","C1,P3,S6"
1,1,C2,P3,S1,40.095518752201116,"C2,P3","C2,P3,S1"
1,1,C2,P3,S4,51.533726253081674,"C2,P3","C2,P3,S4"
1,1,C2,P3,S6,18.657311251320664,"C2,P3","C2,P3,S6"
1,2,C1,P3,S1,21.787370189282903,"C1,P3","C1,P3,S1"
1,2,C1,P3,S4,39.73933950228914,"C1,P3","C1,P3,S4"
1,2,C1,P3,S6,10.349162688402462,"C1,P3","C1,P3,S6"
1,2,C2,P3,S1,40.09551875220109,"C2,P3","C2,P3,S1"
1,2,C2,P3,S4,51.53372625308137,"C2,P3","C2,P3,S4"
1,2,C2,P3,S6,18.657311251320742,"C2,P3","C2,P3,S6"
1,3,C1,P3,S1,21.381690939370927,"C1,P3","C1,P3,S1"
1,3,C1,P3,S4,38.749891377509115,"C1,P3","C1,P3,S4"
1,3,C1,P3,S6,10.121573063446425,"C1,P3","C1,P3,S6"
1,3,C2,P3,S1,40.095518752201116,"C2,P3","C2,P3,S1"
1,3,C2,P3,S4,51.53372625308157,"C2,P3","C2,P3,S4"
1,3,C2,P3,S6,18.657311251319918,"C2,P3","C2,P3,S6"
1,4,C1,P3,S1,21.381690939370927,"C1,P3","C1,P3,S1"
1,4,C1,P3,S4,38.749891377509115,"C1,P3","C1,P3,S4"
1,4,C1,P3,S6,10.121573063446425,"C1,P3","C1,P3,S6"
1,4,C2,P3,S1,40.095518752201116,"C2,P3","C2,P3,S1"
1,4,C2,P3,S4,51.53372625308157,"C2,P3","C2,P3,S4"
1,4,C2,P3,S6,18.657311251319918,"C2,P3","C2,P3,S6"
2,0,C1,P3,S1,29.98010000000002,"C1,P3","C1,P3,S1"
2,0,C1,P3,S4,49.98009999999983,"C1,P3","C1,P3,S4"
2,0,C1,P3,S6,14.980100000000007,"C1,P3","C1,P3,S6"
2,0,C2,P3,S1,49.98009999999999,"C2,P3","C2,P3,S1"
2,0,C2,P3,S4,64.9801,"C2,P3","C2,P3,S4"
2,0,C2,P3,S6,24.980099999999958,"C2,P3","C2,P3,S6"
2,1,C1,P3,S1,29.980099999999997,"C1,P3","C1,P3,S1"
2,1,C1,P3,S4,49.98009999999984,"C1,P3","C1,P3,S4"
2,1,C1,P3,S6,14.980100000000025,"C1,P3","C1,P3,S6"
2,1,C2,P3,S1,49.98009999999995,"C2,P3","C2,P3,S1"
2,1,C2,P3,S4,64.98009999999981,"C2,P3","C2,P3,S4"
2,1,C2,P3,S6,24.980099999999993,"C2,P3","C2,P3,S6"
2,2,C1,P3,S1,29.980099999999997,"C1,P3","C1,P3,S1"
2,2,C1,P3,S4,49.98009999999944,"C1,P3","C1,P3,S4"
2,2,C1,P3,S6,14.98010000000003,"C1,P3","C1,P3,S6"
2,2,C2,P3,S1,49.98009999999998,"C2,P3","C2,P3,S1"
2,2,C2,P3,S4,64.98009999999964,"C2,P3","C2,P3,S4"
2,2,C2,P3,S6,24.98010000000008,"C2,P3","C2,P3,S6"
2,3,C1,P3,S1,29.93059999999993,"C1,P3","C1,P3,S1"
2,3,C1,P3,S4,49.8810999999999,"C1,P3","C1,P3,S4"
2,3,C1,P3,S6,14.930599999999847,"C1,P3","C1,P3,S6"
2,3,C2,P3,S1,49.98010000000003,"C2,P3","C2,P3,S1"
2,3,C2,P3,S4,64.98009999999998,"C2,P3","C2,P3,S4"
2,3,C2,P3,S6,24.980099999999254,"C2,P3","C2,P3,S6"
2,4,C1,P3,S1,29.93059999999993,"C1,P3","C1,P3,S1"
2,4,C1,P3,S4,49.8810999999999,"C1,P3","C1,P3,S4"
2,4,C1,P3,S6,14.930599999999847,"C1,P3","C1,P3,S6"
2,4,C2,P3,S1,49.98010000000003,"C2,P3","C2,P3,S1"
2,4,C2,P3,S4,64.98009999999998,"C2,P3","C2,P3,S4"
2,4,C2,P3,S6,24.980099999999254,"C2,P3","C2,P3,S6"
3,0,C1,P3,S1,30.967317514370812,"C1,P3","C1,P3,S1"
3,0,C1,P3,S4,51.213971644934944,"C1,P3","C1,P3,S4"
3,0,C1,P3,S6,16.002935439362034,"C1,P3","C1,P3,S6"
3,0,C2,P3,S1,50.86135418752197,"C2,P3","C2,P3,S1"
3,0,C2,P3,S4,65.82573626253031,"C2,P3","C2,P3,S4"
3,0,C2,P3,S6,25.896972112513346,"C2,P3","C2,P3,S6"
3,1,C1,P3,S1,30.962019348028377,"C1,P3","C1,P3,S1"
3,1,C1,P3,S4,51.175148106694216,"C1,P3","C1,P3,S4"
3,1,C1,P3,S6,15.997637273019599,"C1,P3","C1,P3,S6"
3,1,C2,P3,S1,50.86135418752201,"C2,P3","C2,P3,S1"
3,1,C2,P3,S4,65.82573626253051,"C2,P3","C2,P3,S4"
3,1,C2,P3,S6,25.896972112513208,"C2,P3","C2,P3,S6"
3,2,C1,P3,S1,30.96201934802834,"C1,P3","C1,P3,S1"
3,2,C1,P3,S4,51.175148106694465,"C1,P3","C1,P3,S4"
3,2,C1,P3,S6,15.99763727301949,"C1,P3","C1,P3,S6"
3,2,C2,P3,S1,50.86135418752201,"C2,P3","C2,P3,S1"
3,2,C2,P3,S4,65.82573626253063,"C2,P3","C2,P3,S4"
3,2,C2,P3,S6,25.896972112513282,"C2,P3","C2,P3,S6"
3,3,C1,P3,S1,30.913365273747026,"C1,P3","C1,P3,S1"
3,3,C1,P3,S4,51.102505371188116,"C1,P3","C1,P3,S4"
3,3,C1,P3,S6,15.950764094987532,"C1,P3","C1,P3,S6"
