T,M,D,K,C,Val,DK,DKC
1,0,C1,P3,S1,29.99,"C1,P3","C1,P3,S1"
1,0,C1,P3,S4,49.99,"C1,P3","C1,P3,S4"
1,0,C1,P3,S6,14.99,"C1,P3","C1,P3,S6"
1,0,C2,P3,S1,49.99,"C2,P3","C2,P3,S1"
1,0,C2,P3,S4,64.99,"C2,P3","C2,P3,S4"
1,0,C2,P3,S6,24.99,"C2,P3","C2,P3,S6"
1,1,C1,P3,S1,29.99,"C1,P3","C1,P3,S1"
1,1,C1,P3,S4,49.99,"C1,P3","C1,P3,S4"
1,1,C1,P3,S6,14.99,"C1,P3","C1,P3,S6"
1,1,C2,P3,S1,49.99,"C2,P3","C2,P3,S1"
1,1,C2,P3,S4,64.99,"C2,P3","C2,P3,S4"
1,1,C2,P3,S6,24.99,"C2,P3","C2,P3,S6"
1,2,C1,P3,S1,29.99,"C1,P3","C1,P3,S1"
1,2,C1,P3,S4,49.99,"C1,P3","C1,P3,S4"
1,2,C1,P3,S6,14.99,"C1,P3","C1,P3,S6"
1,2,C2,P3,S1,49.99,"C2,P3","C2,P3,S1"
1,2,C2,P3,S4,64.99,"C2,P3","C2,P3,S4"
1,2,C2,P3,S6,24.99,"C2,P3","C2,P3,S6"
1,3,C1,P3,S1,29.99,"C1,P3","C1,P3,S1"
1,3,C1,P3,S4,49.99,"C1,P3","C1,P3,S4"
1,3,C1,P3,S6,14.99,"C1,P3","C1,P3,S6"
1,3,C2,P3,S1,49.99,"C2,P3","C2,P3,S1"
1,3,C2,P3,S4,64.99,"C2,P3","C2,P3,S4"
1,3,C2,P3,S6,24.99,"C2,P3","C2,P3,S6"
1,4,C1,P3,S1,29.99,"C1,P3","C1,P3,S1"
1,4,C1,P3,S4,49.99,"C1,P3","C1,P3,S4"
1,4,C1,P3,S6,14.99,"C1,P3","C1,P3,S6"
1,4,C2,P3,S1,49.99,"C2,P3","C2,P3,S1"
1,4,C2,P3,S4,64.99,"C2,P3","C2,P3,S4"
1,4,C2,P3,S6,24.99,"C2,P3","C2,P3,S6"
2,0,C1,P3,S1,30.9701,"C1,P3","C1,P3,S1"
2,0,C1,P3,S4,50.9701,"C1,P3","C1,P3,S4"
2,0,C1,P3,S6,15.9701,"C1,P3","C1,P3,S6"
2,0,C2,P3,S1,50.9701,"C2,P3","C2,P3,S1"
2,0,C2,P3,S4,65.9701,"C2,P3","C2,P3,S4"
2,0,C2,P3,S6,25.9701,"C2,P3","C2,P3,S6"
2,1,C1,P3,S1,30.9701,"C1,P3","C1,P3,S1"
2,1,C1,P3,S4,50.9701,"C1,P3","C1,P3,S4"
2,1,C1,P3,S6,15.9701,"C1,P3","C1,P3,S6"
2,1,C2,P3,S1,50.9701,"C2,P3","C2,P3,S1"
2,1,C2,P3,S4,65.9701,"C2,P3","C2,P3,S4"
2,1,C2,P3,S6,25.9701,"C2,P3","C2,P3,S6"
2,2,C1,P3,S1,30.9701,"C1,P3","C1,P3,S1"
2,2,C1,P3,S4,50.9701,"C1,P3","C1,P3,S4"
2,2,C1,P3,S6,15.9701,"C1,P3","C1,P3,S6"
2,2,C2,P3,S1,50.9701,"C2,P3","C2,P3,S1"
2,2,C2,P3,S4,65.9701,"C2,P3","C2,P3,S4"
2,2,C2,P3,S6,25.9701,"C2,P3","C2,P3,S6"
2,3,C1,P3,S1,30.9701,"C1,P3","C1,P3,S1"
2,3,C1,P3,S4,50.9701,"C1,P3","C1,P3,S4"
2,3,C1,P3,S6,15.9701,"C1,P3","C1,P3,S6"
2,3,C2,P3,S1,50.9701,"C2,P3","C2,P3,S1"
2,3,C2,P3,S4,65.9701,"C2,P3","C2,P3,S4"
2,3,C2,P3,S6,25.9701,"C2,P3","C2,P3,S6"
2,4,C1,P3,S1,30.9701,"C1,P3","C1,P3,S1"
2,4,C1,P3,S4,50.9701,"C1,P3","C1,P3,S4"
2,4,C1,P3,S6,15.9701,"C1,P3","C1,P3,S6"
2,4,C2,P3,S1,50.9701,"C2,P3","C2,P3,S1"
2,4,C2,P3,S4,65.9701,"C2,P3","C2,P3,S4"
2,4,C2,P3,S6,25.9701,"C2,P3","C2,P3,S6"
3,0,C1,P3,S1,31.940399,"C1,P3","C1,P3,S1"
3,0,C1,P3,S4,51.940399,"C1,P3","C1,P3,S4"
3,0,C1,P3,S6,16.940399,"C1,P3","C1,P3,S6"
3,0,C2,P3,S1,51.940399,"C2,P3","C2,P3,S1"
3,0,C2,P3,S4,66.940399,"C2,P3","C2,P3,S4"
3,0,C2,P3,S6,26.940399,"C2,P3","C2,P3,S6"
3,1,C1,P3,S1,31.940399,"C1,P3","C1,P3,S1"
