T,M,D,K,C,Val,Usage,Val_Adj
1,0,C1,P3,S1,-0.050000000000000044,0.26666666666666666,-0.18750000000000017
1,0,C1,P3,S4,-0.050000000000000044,1.0222222222222221,-0.04891304347826092
1,0,C1,P3,S6,-0.050000000000000044,0.13333333333333333,-0.37500000000000033
1,0,C2,P3,S1,-0.050000000000000044,1.0222222222222221,-0.04891304347826092
1,0,C2,P3,S4,-0.050000000000000044,1.1555555555555554,-0.04326923076923081
1,0,C2,P3,S6,-0.050000000000000044,0.2222222222222222,-0.2250000000000002
1,1,C1,P3,S1,-0.050000000000000044,0.26666666666666666,-0.18750000000000017
1,1,C1,P3,S4,-57.0823245292558,1.0222222222222221,-55.84140443079372
1,1,C1,P3,S6,-0.050000000000000044,0.13333333333333333,-0.37500000000000033
1,1,C2,P3,S1,-0.050000000000000044,1.0222222222222221,-0.04891304347826092
1,1,C2,P3,S4,-0.050000000000000044,1.1555555555555554,-0.04326923076923081
1,1,C2,P3,S6,-0.050000000000000044,0.2222222222222222,-0.2250000000000002
1,2,C1,P3,S1,-0.050000000000000044,0.26666666666666666,-0.18750000000000017
1,2,C1,P3,S4,-48.27157970617914,1.0222222222222221,-47.22219753865351
1,2,C1,P3,S6,-0.050000000000000044,0.13333333333333333,-0.37500000000000033
1,2,C2,P3,S1,-0.050000000000000044,1.0222222222222221,-0.04891304347826092
1,2,C2,P3,S4,-0.050000000000000044,1.1555555555555554,-0.04326923076923081
1,2,C2,P3,S6,-0.050000000000000044,0.2222222222222222,-0.2250000000000002
1,3,C1,P3,S1,-0.050000000000000044,0.26666666666666666,-0.18750000000000017
1,3,C1,P3,S4,-78.39472595677925,1.0222222222222221,-76.6904927838058
1,3,C1,P3,S6,-37.02205738766533,0.13333333333333333,-277.66543040748996
1,3,C2,P3,S1,-0.050000000000000044,1.0222222222222221,-0.04891304347826092
1,3,C2,P3,S4,-37.95980890378201,1.1555555555555554,-32.849834628272895
1,3,C2,P3,S6,-0.050000000000000044,0.2222222222222222,-0.2250000000000002
1,4,C1,P3,S1,-0.050000000000000044,0.26666666666666666,-0.18750000000000017
1,4,C1,P3,S4,-78.39472595677925,1.0222222222222221,-76.6904927838058
1,4,C1,P3,S6,-37.02205738766533,0.13333333333333333,-277.66543040748996
1,4,C2,P3,S1,-0.050000000000000044,1.0222222222222221,-0.04891304347826092
1,4,C2,P3,S4,-37.95980890378201,1.1555555555555554,-32.849834628272895
1,4,C2,P3,S6,-0.050000000000000044,0.2222222222222222,-0.2250000000000002
2,0,C1,P3,S1,9.278027463017498,0.26666666666666666,34.792602986315615
2,0,C1,P3,S4,0.8525,1.0222222222222221,0.8339673913043479
2,0,C1,P3,S6,0.8525,0.13333333333333333,6.393750000000001
2,0,C2,P3,S1,0.8525,1.0222222222222221,0.8339673913043479
2,0,C2,P3,S4,0.8525,1.1555555555555554,0.7377403846153847
2,0,C2,P3,S6,0.8525,0.2222222222222222,3.83625
2,1,C1,P3,S1,8.587133229014706,0.26666666666666666,32.201749608805144
2,1,C1,P3,S4,-56.179824529255804,1.0222222222222221,-54.95852399601112
2,1,C1,P3,S6,0.8525,0.13333333333333333,6.393750000000001
2,1,C2,P3,S1,0.8525,1.0222222222222221,0.8339673913043479
2,1,C2,P3,S4,0.8525,1.1555555555555554,0.7377403846153847
2,1,C2,P3,S6,0.8525,0.2222222222222222,3.83625
2,2,C1,P3,S1,0.8525,0.26666666666666666,3.1968750000000004
2,2,C1,P3,S4,-47.36907970617914,1.0222222222222221,-46.339317103870904
2,2,C1,P3,S6,0.8525,0.13333333333333333,6.393750000000001
2,2,C2,P3,S1,0.8525,1.0222222222222221,0.8339673913043479
2,2,C2,P3,S4,0.8525,1.1555555555555554,0.7377403846153847
2,2,C2,P3,S6,0.8525,0.2222222222222222,3.83625
2,3,C1,P3,S1,48.0818220185152,0.26666666666666666,180.306832569432
2,3,C1,P3,S4,-73.23044099056403,1.0222222222222221,-71.63847488207352
2,3,C1,P3,S6,-32.989622359818526,0.13333333333333333,-247.42216769863896
2,3,C2,P3,S1,23.55351722523319,1.0222222222222221,23.04148424207595
2,3,C2,P3,S4,5.560540758370196,1.1555555555555554,4.81200642551267
2,3,C2,P3,S6,63.45120055693614,0.2222222222222222,285.5304025062127
2,4,C1,P3,S1,48.0818220185152,0.26666666666666666,180.306832569432
2,4,C1,P3,S4,-73.23044099056403,1.0222222222222221,-71.63847488207352
2,4,C1,P3,S6,-32.989622359818526,0.13333333333333333,-247.42216769863896
2,4,C2,P3,S1,23.55351722523319,1.0222222222222221,23.04148424207595
2,4,C2,P3,S4,5.560540758370196,1.1555555555555554,4.81200642551267
2,4,C2,P3,S6,63.45120055693614,0.2222222222222222,285.5304025062127
3,0,C1,P3,S1,1.7098749999999998,0.26666666666666666,6.412031249999999
3,0,C1,P3,S4,1.7098749999999998,1.0222222222222221,1.672703804347826
3,0,C1,P3,S6,1.7098749999999998,0.13333333333333333,12.824062499999998
3,0,C2,P3,S1,1.7098749999999998,1.0222222222222221,1.672703804347826
3,0,C2,P3,S4,1.7098749999999998,1.1555555555555554,1.4796995192307691
3,0,C2,P3,S6,28.921405569752537,0.2222222222222222,130.14632506388642
3,1,C1,P3,S1,51.49636113547261,0.26666666666666666,193.1113542580223
3,1,C1,P3,S4,-45.923783075678415,1.0222222222222221,-44.92543996533758
3,1,C1,P3,S6,1.7098749999999998,0.13333333333333333,12.824062499999998
3,1,C2,P3,S1,1.7098749999999998,1.0222222222222221,1.672703804347826
3,1,C2,P3,S4,95.69653953577391,1.1555555555555554,82.81431305980435
3,1,C2,P3,S6,1.7098749999999998,0.2222222222222222,7.694437499999999
3,2,C1,P3,S1,1.7098749999999998,0.26666666666666666,6.412031249999999
3,2,C1,P3,S4,-36.65630674122488,1.0222222222222221,-35.85943050771999
3,2,C1,P3,S6,2.2943826869937816,0.13333333333333333,17.207870152453363
3,2,C2,P3,S1,1.7098749999999998,1.0222222222222221,1.672703804347826
3,2,C2,P3,S4,100.26385464954264,1.1555555555555554,86.76679729287345
3,2,C2,P3,S6,13.400028739875639,0.2222222222222222,60.30012932944038
3,3,C1,P3,S1,4.00815398282926,0.26666666666666666,15.030577435609725
3,3,C1,P3,S4,-17.93020552759532,1.0222222222222221,-17.540418450908465
3,3,C1,P3,S6,-18.108409335486126,0.13333333333333333,-135.81307001614596
3,3,C2,P3,S1,47.67545465658519,1.0222222222222221,46.639031729268126
3,3,C2,P3,S4,25.917900976637977,1.1555555555555554,22.428952768244404
3,3,C2,P3,S6,16.556515132462035,0.2222222222222222,74.50431809607916
3,4,C1,P3,S1,4.00815398282926,0.26666666666666666,15.030577435609725
3,4,C1,P3,S4,-17.93020552759532,1.0222222222222221,-17.540418450908465
3,4,C1,P3,S6,-18.108409335486126,0.13333333333333333,-135.81307001614596
3,4,C2,P3,S1,47.67545465658519,1.0222222222222221,46.639031729268126
3,4,C2,P3,S4,25.917900976637977,1.1555555555555554,22.428952768244404
3,4,C2,P3,S6,16.556515132462035,0.2222222222222222,74.50431809607916
4,0,C1,P3,S1,21.048821004481237,0.26666666666666666,78.93307876680464
4,0,C1,P3,S4,2.52438125,1.0222222222222221,2.4695033967391304
4,0,C1,P3,S6,2.52438125,0.13333333333333333,18.932859375
4,0,C2,P3,S1,2.52438125,1.0222222222222221,2.4695033967391304
4,0,C2,P3,S4,2.52438125,1.1555555555555554,2.184560697115385
4,0,C2,P3,S6,2.52438125,0.2222222222222222,11.359715625
4,1,C1,P3,S1,2.52438125,0.26666666666666666,9.4664296875
4,1,C1,P3,S4,-54.507943279255805,1.0222222222222221,-53.32298799057634
4,1,C1,P3,S6,24.747983006866686,0.13333333333333333,185.60987255150016
4,1,C2,P3,S1,2.52438125,1.0222222222222221,2.4695033967391304
4,1,C2,P3,S4,2.52438125,1.1555555555555554,2.184560697115385
4,1,C2,P3,S6,12.88532527683583,0.2222222222222222,57.983963745761244
4,2,C1,P3,S1,5.200415182340195,0.26666666666666666,19.50155693377573
4,2,C1,P3,S4,8.889013970716173,1.0222222222222221,8.69577453657017
4,2,C1,P3,S6,2.52438125,0.13333333333333333,18.932859375
4,2,C2,P3,S1,56.0450598968039,1.0222222222222221,54.82668902948208
4,2,C2,P3,S4,2.52438125,1.1555555555555554,2.184560697115385
4,2,C2,P3,S6,2.52438125,0.2222222222222222,11.359715625
4,3,C1,P3,S1,4.183416686063014,0.26666666666666666,15.687812572736302
4,3,C1,P3,S4,-75.82034470677925,1.0222222222222221,-74.1720763435884
4,3,C1,P3,S6,-33.62090158581507,0.13333333333333333,-252.156761893613
4,3,C2,P3,S1,35.70508997126027,1.0222222222222221,34.9288923631894
4,3,C2,P3,S4,-35.38542765378202,1.1555555555555554,-30.62200470038829
4,3,C2,P3,S6,19.059872287005245,0.2222222222222222,85.7694252915236
